Age,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Employee_Number,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Current_Manager,Role_Department,Remote_Work
37,No,Unknown,1372.0,Unknown,1.0,3,Life Sciences,391.0,4,Female,42.0,3,1,Research Scientist,4,Single,6477.686121919585,15881,1,No,12,3.0,2,0,11.712119161490506,3,3.0,17,5,7,Unknown,True
32,No,Travel Rarely,802.0741525511074,Unknown,8.0,2,Technical Degree,436.0,3,Female,65.0,2,2,Sales Executive,2,Married,6477.686121919585,24624,1,Yes,11,3.0,4,0,11.314684733070965,2,3.0,13,11,9,Unknown,True
38,No,Unknown,1333.0,Unknown,1.0,3,Unknown,0.01,4,Female,80.0,3,3,Research Director,1,Married,6477.686121919585,16292,1,Unknown,13,3.0,2,1,15.0,3,3.0,15,5,11,Unknown,False
46,No,Unknown,228.0,Unknown,3.0,3,Life Sciences,1527.0,3,Female,51.0,3,4,Manager,2,Unknown,6477.686121919585,11380,8,No,12,3.0,4,1,23.0,2,4.0,13,5,1,Unknown,True
35,Yes,Travel Rarely,737.0,Unknown,10.0,3,Medical,0.01,4,Male,55.0,2,3,Sales Executive,1,Married,10306.0,21530,9,Unknown,17,3.0,3,0,15.0,3,3.0,13,6,0,Unknown,False
43,No,Unknown,823.0,Unknown,6.0,3,Medical,1866.0,1,Female,81.0,2,5,Manager,3,Married,6477.686121919585,22539,7,No,13,3.0,4,0,21.0,2,3.0,16,6,14,Unknown,True
56,No,Non Travel,667.0,Unknown,1.0,4,Life Sciences,2026.0,3,Male,57.0,3,2,Healthcare Representative,3,Divorced,6477.686121919585,26236,1,No,21,3.0,1,1,11.218662554365482,2,2.0,13,1,9,Unknown,True
36,No,Non Travel,301.0,Unknown,15.0,4,Marketing,0.01,4,Male,88.0,1,2,Sales Executive,4,Divorced,5406.0,10436,1,No,24,4.0,1,1,10.965651722172586,4,2.0,15,11,11,Unknown,True
38,No,Unknown,573.0,Unknown,6.0,3,Medical,107.0,2,Female,79.0,1,2,Research Scientist,4,Unknown,6477.686121919585,15717,7,Unknown,12,3.0,4,3,17.0,3,3.0,13,1,9,Unknown,True
49,No,Unknown,802.4770265646002,Unknown,8.899787575487052,4,Medical,170.0,3,Female,96.0,3,2,Manufacturing Director,1,Unknown,6477.686121919585,5549,1,No,14,3.0,3,0,16.0,2,2.0,15,5,11,Unknown,False
39,No,Travel Rarely,1329.0,Unknown,4.0,4,Life Sciences,0.01,4,Female,47.0,2,2,Sales Executive,3,Married,5902.0,14590,4,Unknown,14,3.0,3,1,17.0,1,4.0,15,5,9,Unknown,True
40,No,Unknown,630.0,Unknown,4.0,4,Unknown,215.0,3,Male,67.0,2,3,Sales Executive,4,Married,10855.0,8552,7,No,11,3.0,1,1,15.0,2,2.0,12,2,11,Unknown,True
36,No,Unknown,802.0644025309185,Unknown,5.0,2,Unknown,304.0,4,Male,62.0,3,2,Laboratory Technician,2,Single,5914.0,9945,8,No,16,3.0,4,0,16.0,3,4.0,13,3,7,Unknown,True
37,No,Unknown,1063.0,Unknown,25.0,5,Unknown,529.0,2,Female,72.0,3,2,Research Scientist,3,Married,6477.686121919585,23866,3,Yes,15,3.0,1,2,15.0,2,3.0,13,10,7,Unknown,False
35,No,Unknown,1017.0,Unknown,6.0,4,Unknown,691.0,2,Male,82.0,1,2,Research Scientist,4,Unknown,6646.0,19368,1,Unknown,13,3.0,2,0,11.468226075193176,3,3.0,17,11,8,Unknown,True
33,No,Travel Frequently,1296.0,Unknown,6.0,3,Life Sciences,692.0,3,Male,66.47491421964729,3,2,Healthcare Representative,4,Divorced,6477.686121919585,5335,3,No,23,4.0,3,1,15.0,2,1.0,13,4,7,Unknown,False
50,No,Travel Rarely,939.0, Research & Development ,24.0,3,Unknown,1005.0,4,Male,66.1547596495944,3,4,Manufacturing Director,3,Married,13973.0,4161,3,Yes,18,3.0,4,1,22.0,2,3.0,12,1,5,Manufacturing Director - Research & Development,False
48,No,Travel Rarely,1355.0,Unknown,4.0,4,Unknown,1024.0,3,Male,78.0,2,3,Healthcare Representative,3,Single,6477.686121919585,22245,7,Unknown,14,3.0,2,0,27.0,3,3.0,15,4,8,Unknown,True
44,No,Travel Rarely,1448.0, Sales ,28.0,3,Unknown,1039.0,4,Female,53.0,4,4,Sales Executive,4,Married,13320.0,11737,3,Unknown,18,3.0,3,1,11.766824412289013,2,3.0,12,11,11,Sales Executive - Sales,True
44,No,Travel Rarely,200.0,Unknown,29.0,4,Unknown,1225.0,4,Male,32.0,3,2,Research Scientist,4,Single,6477.686121919585,7744,1,Unknown,25,4.0,2,0,10.88649074537474,3,3.0,20,13,17,Unknown,True
40,No,Unknown,1202.0,Unknown,8.869807004531989,1,Unknown,1375.0,2,Female,89.0,4,2,Healthcare Representative,3,Unknown,6477.686121919585,13888,5,No,20,4.0,2,3,15.0,0,3.0,12,11,8,Unknown,True
34,No,Travel Rarely,404.0,Unknown,2.0,4,Unknown,0.01,3,Female,98.0,3,2,Healthcare Representative,4,Single,6687.0,6163,1,Unknown,11,3.0,4,0,14.0,2,4.0,14,4,11,Unknown,True
35,No,Non Travel,208.0, Research & Development ,8.0,4,Unknown,0.01,3,Female,52.0,3,2,Healthcare Representative,3,Unknown,6477.686121919585,12250,1,Unknown,12,3.0,4,1,10.895203169788205,5,3.0,14,2,9,Healthcare Representative - Research & Development,True
50,No,Unknown,813.0,Unknown,17.0,5,Life Sciences,0.01,4,Female,50.0,2,3,Research Director,1,Unknown,6477.686121919585,21981,5,No,15,3.0,3,3,11.320122501909314,3,3.0,14,1,11,Unknown,False
49,No,Unknown,465.0,Unknown,6.0,1,Life Sciences,1661.0,3,Female,41.0,2,4,Healthcare Representative,3,Unknown,6477.686121919585,11652,2,Unknown,19,3.0,2,1,11.074318138231519,3,3.0,15,2,12,Unknown,True
38,No,Travel Frequently,1189.0,Unknown,1.0,3,Life Sciences,1668.0,4,Male,90.0,3,2,Research Scientist,4,Unknown,4735.0,9867,7,No,15,3.0,4,2,19.0,4,3.0,13,2,9,Unknown,True
33,No,Unknown,802.2502223663724,Unknown,21.0,3,Unknown,1698.0,2,Male,79.0,4,1,Laboratory Technician,2,Unknown,6477.686121919585,13637,1,No,18,3.0,4,3,14.0,6,3.0,14,2,13,Unknown,True
47,No,Travel Rarely,1001.0,Unknown,4.0,3,Life Sciences,0.01,3,Female,92.0,2,3,Manufacturing Director,2,Divorced,6477.686121919585,19271,8,Yes,12,3.0,3,1,11.458430063712209,4,3.0,22,14,10,Unknown,True
38,No,Unknown,1394.0, Research & Development ,8.0,3,Unknown,1937.0,4,Female,58.0,2,2,Research Scientist,2,Divorced,6477.686121919585,18115,1,Unknown,16,3.0,3,1,20.0,3,3.0,20,0,7,Research Scientist - Research & Development,False
37,No,Travel Rarely,161.0,Unknown,10.0,3,Life Sciences,2017.0,3,Female,42.0,4,3,Research Director,4,Unknown,6477.686121919585,15471,1,Yes,25,4.0,1,1,16.0,2,3.0,16,6,8,Unknown,True
30,No,Unknown,288.0,Unknown,2.0,3,Unknown,117.0,3,Male,99.0,2,2,Healthcare Representative,4,Married,6477.686121919585,15830,1,No,19,3.0,1,3,11.0,3,3.0,11,10,8,Unknown,True
58,No,Travel Rarely,682.0,Unknown,8.893059527097009,4,Unknown,131.0,4,Male,37.0,3,4,Sales Executive,3,Single,13872.0,24409,0,Unknown,13,3.0,3,0,38.0,1,2.0,37,1,8,Unknown,True
34,No,Travel Rarely,1354.0,Unknown,5.0,3,Unknown,153.0,3,Female,45.0,2,3,Manager,1,Single,6477.686121919585,5615,2,Unknown,12,3.0,4,0,14.0,6,3.0,11,5,8,Unknown,False
58,Yes,Travel Rarely,147.0,Unknown,23.0,4,Medical,0.01,4,Female,94.0,3,3,Healthcare Representative,4,Married,6477.686121919585,3465,1,Unknown,12,3.0,4,1,40.0,3,2.0,40,15,6,Unknown,True
38,No,Unknown,119.0,Unknown,3.0,3,Life Sciences,307.0,1,Male,76.0,3,3,Sales Executive,3,Divorced,6477.686121919585,9647,0,Unknown,12,3.0,3,2,10.836124094271055,6,2.0,16,5,13,Unknown,True
29,No,Travel Frequently,1413.0,Unknown,1.0,1,Unknown,0.01,2,Female,42.0,3,3,Sales Executive,4,Married,6477.686121919585,6599,1,Unknown,14,3.0,4,1,11.0,5,3.0,11,4,1,Unknown,True
55,No,Travel Rarely,452.0,Unknown,1.0,3,Medical,374.0,4,Male,81.0,3,5,Manager,1,Single,19045.0,18938,0,Unknown,14,3.0,3,0,37.0,2,3.0,36,4,13,Unknown,True
41,No,Unknown,334.0,Unknown,8.930841028890693,4,Unknown,0.01,4,Male,88.0,3,4,Manager,2,Unknown,16015.0,15896,1,Unknown,19,3.0,2,0,10.988916211639106,2,3.0,22,0,4,Unknown,True
39,No,Travel Rarely,1132.0, Research & Development ,1.0,3,Unknown,0.01,3,Male,48.0,4,3,Healthcare Representative,4,Unknown,9613.0,10942,0,No,17,3.0,1,3,19.0,5,2.0,18,3,7,Healthcare Representative - Research & Development,False
38,No,Unknown,802.3990703444941,Unknown,15.0,2,Life Sciences,0.01,3,Male,92.0,2,3,Research Director,4,Unknown,11510.0,15682,0,Unknown,14,3.0,2,1,11.318697583175394,3,3.0,11,2,9,Unknown,True
43,No,Unknown,982.0,Unknown,12.0,3,Unknown,0.01,1,Male,59.0,2,4,Research Director,2,Unknown,6477.686121919585,4345,1,No,11,3.0,3,1,11.440267629157681,3,3.0,25,3,9,Unknown,True
31,No,Unknown,480.0,Unknown,8.905957383204948,2,Unknown,524.0,2,Female,31.0,3,2,Manufacturing Director,1,Married,4306.0,4156,1,No,12,3.0,2,1,13.0,5,1.0,13,3,12,Unknown,True
50,No,Travel Rarely,1099.0, Research & Development ,8.876730784848718,4,Life Sciences,569.0,2,Male,88.0,2,4,Manager,3,Married,17046.0,9314,0,No,15,3.0,2,1,28.0,2,3.0,27,15,7,Manager - Research & Development,True
35,No,Unknown,672.0,Unknown,25.0,3,Technical Degree,899.0,4,Male,78.0,2,3,Manufacturing Director,2,Married,6477.686121919585,9129,3,No,16,3.0,1,0,11.224918746403945,2,3.0,13,4,8,Unknown,False
47,No,Unknown,1379.0,Unknown,16.0,4,Unknown,0.01,3,Male,64.0,4,2,Manufacturing Director,3,Unknown,5067.0,6759,1,Yes,19,3.0,3,0,20.0,3,3.0,19,2,7,Unknown,True
35,No,Unknown,583.0, Research & Development ,25.0,4,Unknown,1014.0,3,Female,57.0,3,3,Healthcare Representative,3,Divorced,6477.686121919585,6975,1,Yes,11,3.0,3,1,11.159350687450951,3,2.0,16,10,1,Healthcare Representative - Research & Development,True
40,No,Travel Rarely,1492.0,Unknown,20.0,4,Unknown,0.01,1,Male,61.0,3,3,Healthcare Representative,4,Married,6477.686121919585,26542,4,Unknown,20,4.0,4,1,14.0,6,3.0,11,11,1,Unknown,True
45,No,Unknown,1050.0, Sales ,9.0,4,Life Sciences,1117.0,2,Female,65.0,2,2,Sales Executive,3,Married,6477.686121919585,17970,1,Unknown,13,3.0,4,1,15.0,2,3.0,15,4,12,Sales Executive - Sales,False
33,No,Unknown,117.0, Research & Development ,9.0,3,Medical,1238.0,1,Male,60.0,3,1,Research Scientist,4,Married,6477.686121919585,6311,0,Unknown,13,3.0,2,1,15.0,5,3.0,14,4,10,Research Scientist - Research & Development,False
36,No,Travel Frequently,469.0,Unknown,3.0,3,Unknown,0.01,3,Male,46.0,3,1,Research Scientist,2,Married,3692.0,9256,1,No,12,3.0,3,0,12.0,2,2.0,11,0,7,Unknown,False
45,Yes,Unknown,802.5055431286265,Unknown,8.899204850165614,3,Marketing,1277.0,1,Female,94.0,1,5,Manager,2,Unknown,6477.686121919585,2493,2,Yes,16,3.0,1,0,26.0,2,3.0,24,1,11,Unknown,True
51,No,Travel Frequently,237.0,Unknown,8.936409525990198,3,Unknown,0.01,2,Male,83.0,3,5,Manager,2,Unknown,19847.0,19196,4,Yes,24,3.0,1,1,10.920012070912263,5,2.0,29,11,10,Unknown,False
34,No,Travel Rarely,1440.0,Unknown,7.0,2,Technical Degree,1541.0,2,Male,55.0,3,1,Sales Representative,3,Unknown,2308.0,4944,0,Yes,25,4.0,2,1,12.0,4,3.0,11,5,7,Unknown,False
43,No,Travel Rarely,1291.0, Research & Development ,15.0,2,Unknown,1666.0,3,Male,65.0,2,4,Research Director,3,Unknown,6477.686121919585,3525,1,No,24,4.0,1,1,11.658313936326449,3,3.0,14,6,11,Research Director - Research & Development,True
34,No,Unknown,1157.0,Unknown,5.0,2,Medical,1696.0,2,Male,57.0,2,2,Laboratory Technician,4,Unknown,6477.686121919585,11912,1,No,14,3.0,3,1,11.563079551484181,3,3.0,15,4,13,Unknown,False
38,No,Unknown,1336.0,Unknown,2.0,3,Unknown,1805.0,1,Male,100.0,3,1,Human Resources,2,Divorced,6477.686121919585,7129,5,No,13,3.0,4,3,13.0,3,3.0,11,3,8,Unknown,True
48,No,Unknown,1224.0,Unknown,10.0,3,Unknown,0.01,4,Male,91.0,2,5,Research Director,2,Unknown,6477.686121919585,13583,4,No,12,3.0,4,0,29.0,3,3.0,22,12,9,Unknown,False
34,No,Unknown,735.0, Research & Development ,22.0,4,Other,1932.0,3,Male,86.0,2,2,Research Scientist,4,Married,5747.0,26496,1,Yes,15,3.0,2,0,16.0,3,3.0,15,6,11,Research Scientist - Research & Development,False
32,No,Travel Rarely,801.8800366888803,Unknown,8.887576530601994,4,Unknown,2016.0,3,Female,48.0,3,3,Sales Executive,4,Unknown,10422.0,24032,1,No,19,3.0,3,2,14.0,3,3.0,14,5,7,Unknown,True
29,No,Travel Rarely,1389.0,Unknown,21.0,4,Life Sciences,20.0,2,Female,51.0,4,3,Manufacturing Director,1,Divorced,6477.686121919585,10195,1,No,11,3.0,3,1,10.0,1,3.0,10,8,8,Unknown,False
46,No,Unknown,638.0,Unknown,1.0,3,Medical,0.01,3,Male,40.0,2,3,Healthcare Representative,1,Married,6477.686121919585,3142,2,Yes,13,3.0,3,1,21.0,5,2.0,10,9,5,Unknown,False
30,No,Unknown,1240.0, Human Resources ,9.0,3,Unknown,184.0,3,Male,48.0,3,2,Human Resources,4,Married,6347.0,13982,0,Yes,19,3.0,4,0,11.620096473463152,2,1.0,11,4,7,Human Resources - Human Resources,False
45,No,Unknown,194.0,Unknown,9.0,3,Life Sciences,206.0,2,Male,60.0,3,2,Laboratory Technician,2,Unknown,2348.0,10901,8,No,18,3.0,3,1,20.0,2,3.0,17,0,15,Unknown,True
30,No,Travel Rarely,1339.0,Unknown,5.0,3,Unknown,228.0,2,Female,41.0,3,3,Sales Executive,4,Unknown,6477.686121919585,8053,2,No,12,3.0,3,1,11.688734226634725,2,3.0,10,7,4,Unknown,True
30,No,Unknown,111.0,Unknown,9.0,3,Unknown,239.0,3,Male,66.0,3,2,Laboratory Technician,1,Unknown,3072.0,11012,1,No,11,3.0,3,2,12.0,4,3.0,12,6,10,Unknown,True
34,No,Travel Frequently,801.8222067380822,Unknown,8.886841752098182,1,Unknown,256.0,4,Male,45.0,2,2,Manufacturing Director,3,Married,6477.686121919585,14074,1,Unknown,17,3.0,3,0,10.0,2,2.0,10,1,9,Unknown,False
51,No,Travel Rarely,1469.0,Unknown,8.0,4,Life Sciences,0.01,2,Male,81.0,2,3,Research Director,2,Married,12490.0,15736,5,No,16,3.0,4,2,16.0,5,1.0,10,4,7,Unknown,False
34,No,Unknown,470.0,Unknown,8.920208109529012,4,Life Sciences,339.0,3,Male,84.0,2,2,Manufacturing Director,1,Unknown,6477.686121919585,23687,6,Unknown,13,3.0,2,1,13.0,3,3.0,11,5,9,Unknown,True
35,No,Travel Rarely,1232.0,Unknown,16.0,3,Unknown,406.0,3,Male,96.0,3,3,Sales Executive,2,Married,8020.0,5100,0,Unknown,15,3.0,3,2,12.0,3,2.0,11,6,9,Unknown,True
45,No,Travel Frequently,1249.0,Unknown,7.0,3,Life Sciences,0.01,1,Male,97.0,3,3,Laboratory Technician,1,Unknown,6477.686121919585,20308,1,Unknown,18,3.0,1,1,24.0,2,3.0,24,9,11,Unknown,True
